电压(V),容量(Ah)
3.000,0.000
3.020,0.003
3.040,0.007
3.060,0.012
3.080,0.018
3.100,0.026
3.120,0.036
3.140,0.048
3.160,0.062
3.180,0.079
3.200,0.099
3.220,0.122
3.240,0.149
3.260,0.179
3.280,0.214
3.300,0.253
3.320,0.297
3.340,0.347
3.360,0.402
3.380,0.464
3.400,0.532
3.420,0.607
3.440,0.690
3.460,0.780
3.480,0.878
3.500,0.984
3.520,1.098
3.540,1.220
3.560,1.350
3.580,1.488
3.600,1.634
3.620,1.788
3.640,1.950
3.660,2.118
3.680,2.294
3.700,2.475
3.720,2.662
3.740,2.854
3.760,3.050
3.780,3.250
3.800,3.453
3.820,3.658
3.840,3.865
3.860,4.073
3.880,4.281
3.900,4.488
3.920,4.694
3.940,4.898
3.960,5.099
3.980,5.297
4.000,5.491
4.020,5.681
4.040,5.866
4.060,6.045
4.080,6.218
4.100,6.385
4.120,6.545
4.140,6.698
4.160,6.843
4.180,6.980
4.200,7.110
4.220,7.231
4.240,7.344
4.260,7.449
4.280,7.546
4.300,7.635
4.320,7.717
4.340,7.791
4.360,7.858
4.380,7.918
4.400,7.971
4.420,8.018
4.440,8.058
4.460,8.093
4.480,8.121
4.500,8.144
